date,Altcoin_unscaled,Altcoin_monthly,isPartial,scale,Altcoin
2023-04-02,49,21.0,False,0.21,10.29
2023-04-03,0,21.0,,0.21,0.0
2023-04-04,45,21.0,,0.21,9.45
2023-04-05,0,21.0,,0.21,0.0
2023-04-06,19,21.0,,0.21,3.9899999999999998
2023-04-07,20,21.0,,0.21,4.2
2023-04-08,0,21.0,,0.21,0.0
2023-04-09,44,33.0,False,0.33,14.520000000000001
2023-04-10,0,33.0,,0.33,0.0
2023-04-11,64,33.0,,0.33,21.12
2023-04-12,32,33.0,,0.33,10.56
2023-04-13,23,33.0,,0.33,7.590000000000001
2023-04-14,100,33.0,,0.33,33.0
2023-04-15,32,33.0,,0.33,10.56
2023-04-16,65,45.0,False,0.45,29.25
2023-04-17,54,45.0,,0.45,24.3
2023-04-18,50,45.0,,0.45,22.5
2023-04-19,0,45.0,,0.45,0.0
2023-04-20,0,45.0,,0.45,0.0
2023-04-21,59,45.0,,0.45,26.55
2023-04-22,36,45.0,,0.45,16.2
2023-04-23,24,23.0,False,0.23,5.5200000000000005
2023-04-24,0,23.0,,0.23,0.0
2023-04-25,0,23.0,,0.23,0.0
2023-04-26,37,23.0,,0.23,8.51
2023-04-27,26,23.0,,0.23,5.98
2023-04-28,0,23.0,,0.23,0.0
2023-04-29,38,23.0,,0.23,8.74
2023-04-30,23,21.0,False,0.21,4.83
2023-05-01,0,21.0,,0.21,0.0
2023-05-02,39,21.0,,0.21,8.19
2023-05-03,0,21.0,,0.21,0.0
2023-05-04,100,21.0,,0.21,21.0
2023-05-05,70,21.0,,0.21,14.7
2023-05-06,40,21.0,,0.21,8.4
2023-05-07,0,19.0,False,0.19,0.0
2023-05-08,61,19.0,,0.19,11.59
2023-05-09,50,19.0,,0.19,9.5
2023-05-10,0,19.0,,0.19,0.0
2023-05-11,0,19.0,,0.19,0.0
2023-05-12,56,19.0,,0.19,10.64
2023-05-13,0,19.0,,0.19,0.0
2023-05-14,0,21.0,False,0.21,0.0
