date,BTC_unscaled,BTC_monthly,isPartial,scale,BTC
2023-06-08,54,26.0,,0.26,14.040000000000001
2023-06-09,50,26.0,,0.26,13.0
2023-06-10,60,26.0,,0.26,15.600000000000001
2023-06-11,53,23.0,False,0.23,12.190000000000001
2023-06-12,57,23.0,,0.23,13.110000000000001
2023-06-13,52,23.0,,0.23,11.96
2023-06-14,53,23.0,,0.23,12.190000000000001
2023-06-15,58,23.0,,0.23,13.34
2023-06-16,54,23.0,,0.23,12.42
2023-06-17,46,23.0,,0.23,10.58
2023-06-18,47,31.0,False,0.31,14.57
2023-06-19,51,31.0,,0.31,15.81
2023-06-20,64,31.0,,0.31,19.84
2023-06-21,100,31.0,,0.31,31.0
2023-06-22,86,31.0,,0.31,26.66
2023-06-23,81,31.0,,0.31,25.11
2023-06-24,68,31.0,,0.31,21.08
2023-06-25,61,27.0,False,0.27,16.470000000000002
2023-06-26,73,27.0,,0.27,19.71
2023-06-27,73,27.0,,0.27,19.71
2023-06-28,60,27.0,,0.27,16.200000000000003
2023-06-29,59,27.0,,0.27,15.930000000000001
2023-06-30,72,27.0,,0.27,19.44
2023-07-01,65,27.0,,0.27,17.55
2023-07-02,60,25.0,False,0.25,15.0
2023-07-03,77,25.0,,0.25,19.25
2023-07-04,74,25.0,,0.25,18.5
2023-07-05,80,25.0,,0.25,20.0
2023-07-06,79,25.0,,0.25,19.75
2023-07-07,72,25.0,,0.25,18.0
2023-07-08,57,25.0,,0.25,14.25
2023-07-09,60,27.0,False,0.27,16.200000000000003
2023-07-10,77,27.0,,0.27,20.790000000000003
2023-07-11,74,27.0,,0.27,19.98
2023-07-12,73,27.0,,0.27,19.71
2023-07-13,94,27.0,,0.27,25.380000000000003
2023-07-14,100,27.0,,0.27,27.0
2023-07-15,67,27.0,,0.27,18.09
2023-07-16,67,22.0,False,0.22,14.74
2023-07-17,79,22.0,,0.22,17.38
2023-07-18,74,22.0,,0.22,16.28
2023-07-19,76,22.0,,0.22,16.72
